rcv            	11.95	    D	    2251	    50	     1
snd/DA         	11.95	    A	       1	     0	  2651
rcv            	11.95	    D	    2751	    50	     1
snd/DA         	11.95	    A	       1	     0	  2651
rcv/corr       	11.97	    D	    2801	    50	     1
rcv            	11.97	    D	    2851	    50	     1
snd/DA         	11.97	    A	       1	     0	  2651
rcv            	11.97	    D	    2901	    50	     1
snd/DA         	11.97	    A	       1	     0	  2651
rcv            	11.97	    D	    2901	    50	     1
snd/DA         	11.97	    A	       1	     0	  2651
rcv/corr       	11.97	    D	    2951	    50	     1
rcv            	11.98	    D	    3001	    50	     1
snd/DA         	11.98	    A	       1	     0	  2651
rcv            	11.98	    D	    3001	    50	     1
snd/DA         	11.98	    A	       1	     0	  2651
rcv            	11.98	    D	    3051	    50	     1
snd/DA         	11.98	    A	       1	     0	  2651
rcv            	11.98	    D	    3101	    50	     1
snd/DA         	11.98	    A	       1	     0	  2651
rcv            	11.98	    D	    2651	    50	     1
snd            	11.98	    A	       1	     0	  2801
rcv            	11.98	    D	    2651	    50	     1
snd/DA         	11.98	    A	       1	     0	  2801
rcv/corr       	11.98	    D	    2651	    50	     1
rcv            	11.98	    D	    3151	    50	     1
snd/DA         	11.98	    A	       1	     0	  2801
rcv/corr       	11.98	    D	    3201	    50	     1
rcv            	11.98	    D	    3251	    50	     1
snd/DA         	11.98	    A	       1	     0	  2801
rcv            	11.98	    D	    2801	    50	     1
snd            	11.98	    A	       1	     0	  2951
rcv            	11.98	    D	    3301	    50	     1
snd/DA         	11.98	    A	       1	     0	  2951
rcv            	11.98	    D	    3351	    50	     1
snd/DA         	11.98	    A	       1	     0	  2951
rcv            	11.98	    D	    3401	    50	     1
snd/DA         	11.98	    A	       1	     0	  2951
rcv            	11.98	    D	    2951	    50	     1
snd            	11.98	    A	       1	     0	  3201
rcv            	11.98	    D	    3451	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3501	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3501	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3551	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3601	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3601	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv            	11.99	    D	    3651	    50	     1
snd/DA         	11.99	    A	       1	     0	  3201
rcv/corr       	11.99	    D	    3201	    50	     1
rcv            	11.99	    D	    3201	    50	     1
snd            	11.99	    A	       1	     0	  3701
rcv            	11.99	    D	    3701	    50	     1
snd            	11.99	    A	       1	     0	  3751
rcv            	11.99	    D	    3751	    50	     1
snd            	11.99	    A	       1	     0	  3801
rcv/corr       	11.99	    D	    3801	    50	     1
rcv            	11.99	    D	    3851	    50	     1
snd/DA         	11.99	    A	       1	     0	  3801
rcv            	11.99	    D	    3901	    50	     1
snd/DA         	11.99	    A	       1	     0	  3801
rcv            	11.99	    D	    3951	    50	     1
snd/DA         	11.99	    A	       1	     0	  3801
rcv            	12.00	    D	    3951	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4001	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4051	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4101	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4101	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4151	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    4201	    50	     1
snd/DA         	12.00	    A	       1	     0	  3801
rcv            	12.00	    D	    3801	    50	     1
snd            	12.00	    A	       1	     0	  4251
rcv            	12.00	    D	    4301	    50	     1
snd/DA         	12.00	    A	       1	     0	  4251
rcv            	12.00	    D	    4351	    50	     1
snd/DA         	12.00	    A	       1	     0	  4251
rcv            	12.00	    D	    4401	    50	     1
snd/DA         	12.00	    A	       1	     0	  4251
rcv            	12.00	    D	    4251	    50	     1
snd            	12.00	    A	       1	     0	  4451
rcv            	12.00	    D	    4451	    50	     1
snd            	12.00	    A	       1	     0	  4501
rcv            	12.00	    D	    4501	    50	     1
snd            	12.00	    A	       1	     0	  4551
rcv            	12.00	    D	    4551	    50	     1
snd            	12.00	    A	       1	     0	  4601
rcv            	12.00	    D	    4601	    50	     1
snd            	12.00	    A	       1	     0	  4651
rcv            	12.00	    D	    4701	    50	     1
snd/DA         	12.00	    A	       1	     0	  4651
rcv            	12.00	    D	    4251	    50	     1
snd/DA         	12.00	    A	       1	     0	  4651
rcv            	12.00	    D	    4751	    50	     1
snd/DA         	12.00	    A	       1	     0	  4651
rcv            	12.00	    D	    4751	    50	     1
snd/DA         	12.00	    A	       1	     0	  4651
rcv            	12.01	    D	    4801	    50	     1
snd/DA         	12.01	    A	       1	     0	  4651
rcv            	12.01	    D	    4851	    50	     1
snd/DA         	12.01	    A	       1	     0	  4651
rcv            	12.01	    D	    4901	    50	     1
snd/DA         	12.01	    A	       1	     0	  4651
rcv            	12.01	    D	    5001	    50	     1
snd/DA         	12.01	    A	       1	     0	  4651
rcv            	12.01	    D	    5051	    50	     1
snd/DA         	12.01	    A	       1	     0	  4651
rcv            	12.01	    D	    4651	    50	     1
snd            	12.01	    A	       1	     0	  4951
rcv            	12.01	    D	    4651	    50	     1
snd/DA         	12.01	    A	       1	     0	  4951
rcv            	12.01	    D	    4951	    50	     1
snd            	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5151	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
rcv            	12.01	    D	    5201	    50	     1
snd/DA         	12.01	    A	       1	     0	  5101
